Region,Area,Pct_Leave,Mean.Age,NoQualification,UniQualification,Fluent,Won.Parliament
East,Peterborough,60.89,36.91632,25,20,84,UKIP
East,Luton,56.55,34.75405,24,22,79,Lab
East,Southend-on-Sea,58.08,40.18441,25,22,95,UKIP
East,Thurrock,72.28,36.83433,26,17,94,UKIP
East,Bedford,51.78,38.91516,20,28,89,UKIP
East,Central Bedfordshire,56.13,39.64802,19,27,97,UKIP
East,Cambridge,26.15,35.56456,12,47,83,Lab
East,East Cambridgeshire,50.92,40.19086,21,29,96,NA
East,Fenland,71.39,42.06939,31,15,94,UKIP
East,Huntingdonshire,54.24,39.91671,19,28,96,UKIP
East,South Cambridgeshire,39.77,40.08003,15,40,95,NA
East,Basildon,68.62,39.06526,27,19,97,UKIP
East,Braintree,61.13,40.01403,23,22,97,UKIP
East,Brentwood,59.15,41.63916,19,31,97,UKIP
East,Castle Point,72.7,43.18186,30,15,99,UKIP
East,Chelmsford,52.83,40.05206,19,29,97,UKIP
East,Colchester,53.6,38.89722,19,27,94,UKIP
East,Epping Forest,62.69,41.08944,24,25,96,UKIP
East,Harlow,68.1,38.20165,26,18,94,UKIP
East,Maldon,62.58,43.02382,23,24,99,UKIP
East,Rochford,66.61,42.32705,24,20,99,UKIP
East,Tendring,69.5,45.70375,34,16,99,UKIP
East,Uttlesford,50.68,40.56175,18,32,97,Con
East,Broxbourne,66.26,39.12514,26,19,94,UKIP
East,Dacorum,50.67,39.41183,19,31,96,Con
East,Hertsmere,50.84,39.35615,19,31,93,Con
East,North Hertfordshire,45.63,40.18275,18,34,96,NA
East,Three Rivers,51.27,40.02636,18,34,95,Con
East,Watford,50.27,36.45739,17,32,86,Lab
East,Breckland,64.22,42.63489,28,19,95,UKIP
East,Broadland,54.37,43.90215,23,23,99,UKIP
East,Great Yarmouth,71.5,42.08533,33,14,96,UKIP
East,King's Lynn and West Norfolk,66.4,43.47342,29,19,96,UKIP
East,North Norfolk,58.91,47.48964,27,22,99,UKIP
East,Norwich,43.76,37.41697,23,28,92,Lab
East,South Norfolk,51.69,43.00516,23,27,98,Con
East,Babergh,54.19,43.11187,23,26,98,UKIP
East,Forest Heath,64.97,38.75003,26,19,95,UKIP
East,Ipswich,58.26,38.02066,26,21,92,UKIP
East,Mid Suffolk,55.23,42.43697,22,26,99,UKIP
East,St Edmundsbury,56.62,40.95639,22,25,96,UKIP
East,Suffolk Coastal,53,44.15615,21,29,98,Con
East,Waveney,62.9,43.85141,30,18,98,UKIP
East,St Albans,37.29,NA,NA,NA,NA,Con
East,Welwyn Hatfield,52.99,NA,NA,NA,NA,Con
East,East Hertfordshire,50.36,NA,NA,NA,NA,NA
East,Stevenage,59.25,NA,NA,NA,NA,UKIP
East Midlands,Derby,57.22,37.61231,24,24,90,Lab
East Midlands,Leicester,48.92,34.80327,29,21,72,Lab
East Midlands,Rutland,50.57,42.36702,18,33,98,Con
East Midlands,Nottingham,50.84,34.78955,26,22,87,Lab
East Midlands,Amber Valley,60.28,41.84085,27,23,99,UKIP
East Midlands,Bolsover,70.83,40.96935,33,16,98,Lab
East Midlands,Chesterfield,60.04,41.40656,28,21,98,Lab
East Midlands,Derbyshire Dales,51.56,44.53302,22,33,99,Con
East Midlands,Erewash,61.23,40.7713,26,21,99,UKIP
East Midlands,High Peak,50.55,41.06343,21,29,99,UKIP
East Midlands,North East Derbyshire,62.78,43.2683,27,22,99,UKIP
East Midlands,South Derbyshire,60.35,39.50237,22,26,98,UKIP
East Midlands,Blaby,59.47,40.85574,22,25,97,UKIP
East Midlands,Charnwood,53.81,39.33349,21,27,94,UKIP
East Midlands,Harborough,50.75,41.55869,18,32,98,Con
East Midlands,Hinckley and Bosworth,60.33,41.71157,24,24,98,UKIP
East Midlands,Melton,58.11,41.72531,21,26,98,Con
East Midlands,North West Leicestershire,60.7,40.80034,26,24,98,UKIP
East Midlands,Oadby and Wigston,54.58,41.00908,23,25,92,UKIP
East Midlands,Boston,75.56,41.51045,33,15,87,UKIP
East Midlands,East Lindsey,70.65,45.82035,33,18,99,UKIP
East Midlands,Lincoln,56.94,37.35352,22,21,94,UKIP
East Midlands,North Kesteven,62.26,42.68263,22,25,98,UKIP
East Midlands,South Holland,73.59,43.40679,31,16,93,UKIP
East Midlands,South Kesteven,59.93,41.83578,22,26,97,UKIP
East Midlands,West Lindsey,61.82,43.13601,23,25,99,UKIP
East Midlands,Corby,64.25,37.4638,28,15,91,Lab
East Midlands,Daventry,58.6,40.91335,19,29,97,Con
East Midlands,East Northamptonshire,58.76,40.37093,22,24,98,UKIP
East Midlands,Kettering,60.99,39.45296,23,23,96,UKIP
East Midlands,Northampton,58.38,37.11433,23,24,90,UKIP
East Midlands,South Northamptonshire,54.34,41.08237,17,31,99,UKIP
East Midlands,Wellingborough,62.42,39.6378,26,20,92,UKIP
East Midlands,Ashfield,69.84,39.95502,31,15,98,UKIP
East Midlands,Bassetlaw,67.83,41.5337,28,20,97,Lab
East Midlands,Broxtowe,54.65,41.35045,23,28,96,UKIP
East Midlands,Gedling,55.55,41.42488,24,25,98,UKIP
East Midlands,Mansfield,70.86,40.23833,30,16,96,UKIP
East Midlands,Newark and Sherwood,60.39,41.63494,25,24,98,UKIP
East Midlands,Rushcliffe,42.45,41.24096,16,39,97,Con
London,City of London,24.71,NA,NA,NA,NA,Con
London,Barking and Dagenham,62.44,33.43094,28,21,81,Lab
London,Barnet,37.77,36.81513,16,40,77,Con
London,Bexley,62.95,38.81379,23,22,94,UKIP
London,Brent,40.26,35.01982,19,33,63,Lab
London,Bromley,49.35,39.89845,18,33,94,Con
London,Camden,25.06,35.70132,13,51,77,Lab
London,Croydon,45.71,36.35381,18,32,86,Lab
London,Ealing,39.6,35.43642,16,37,66,Lab
London,Enfield,44.18,35.8829,23,29,77,Lab
London,Greenwich,44.41,34.56843,21,33,83,Lab
London,Hackney,21.52,32.35318,20,42,76,Lab
London,Hammersmith and Fulham,29.98,34.73397,13,50,77,Lab
London,Haringey,24.43,34.16248,18,41,70,Lab
London,Harrow,45.37,37.55818,17,37,72,Lab
London,Havering,69.66,40.35905,26,19,95,UKIP
London,Hillingdon,56.37,36.37698,19,28,81,Lab
London,Hounslow,48.94,35.24354,17,35,71,Lab
London,Islington,24.78,34.51397,17,48,80,Lab
London,Kensington and Chelsea,31.31,37.79165,10,53,72,Con
London,Kingston upon Thames,38.39,37.01358,13,41,84,Con
London,Lambeth,21.38,33.7,14,47,80,Lab
London,Lewisham,30.14,34.55285,18,38,84,Lab
London,Merton,37.06,36.2861,15,41,79,Lab
London,Newham,47.16,31.26153,21,30,59,Lab
London,Redbridge,46.03,35.63186,18,34,75,Lab
London,Richmond upon Thames,30.71,38.26487,11,53,90,Con
London,Southwark,27.19,33.72556,16,43,80,Lab
London,Sutton,53.72,38.33777,19,30,90,UKIP
London,Tower Hamlets,32.54,30.93429,20,41,66,Lab
London,Waltham Forest,40.9,34.44874,21,30,74,Lab
London,Wandsworth,24.97,34.47673,12,54,83,Con
London,"City of London, Westminster",31.03,NA,NA,NA,NA,Con
North East,Hartlepool,69.57,39.82945,31,18,99,UKIP
North East,Middlesbrough,65.48,37.78762,30,19,95,UKIP
North East,Redcar and Cleveland,66.19,41.51965,28,19,99,UKIP
North East,Stockton-on-Tees,61.73,39.07663,24,23,98,UKIP
North East,Darlington,56.18,40.2098,25,24,97,UKIP
North East,County Durham,57.55,40.97188,28,21,99,Lab
North East,Northumberland,54.11,NA,NA,NA,NA,Lab
North East,Newcastle upon Tyne,49.3,36.90711,24,27,91,Lab
North East,North Tyneside,53.4,40.94288,24,25,98,Lab
North East,South Tyneside,62.05,41.1694,28,19,98,Lab
North East,Sunderland,61.34,40.40563,29,18,97,Lab
North East,Gateshead,56.85,NA,NA,NA,NA,Lab
North West,Halton,57.42,38.8502,27,18,99,Lab
North West,Warrington,54.27,39.49586,21,27,97,Lab
North West,Blackburn with Darwen,56.34,36.2338,29,20,87,Lab
North West,Blackpool,67.46,41.33272,31,16,97,UKIP
North West,Cheshire East,51.18,41.96989,20,32,97,Con
North West,Cheshire West and Chester,50.68,41.33889,21,29,98,UKIP
North West,Allerdale,58.65,43.12696,27,23,99,Lab
North West,Barrow-in-Furness,60.62,41.34733,25,19,99,Lab
North West,Carlisle,60.14,41.34703,25,22,97,UKIP
North West,Copeland,62,42.06713,27,21,99,Lab
North West,Eden,53.32,44.12301,23,27,98,Con
North West,South Lakeland,47.14,45.43461,19,33,98,LD
North West,Burnley,66.61,39.35515,29,19,94,Lab
North West,Chorley,56.83,40.53112,21,28,98,Lab
North West,Fylde,56.96,44.93044,21,30,98,Con
North West,Hyndburn,66.19,38.72979,28,19,94,UKIP
North West,Lancaster,51.08,40.17263,21,27,96,UKIP
North West,Pendle,63.15,38.90371,28,20,91,Lab
North West,Preston,53.31,36.92838,23,25,90,Lab
North West,Ribble Valley,56.39,42.52716,18,34,99,Con
North West,Rossendale,60.68,39.64951,24,25,97,UKIP
North West,South Ribble,58.56,40.82741,20,26,99,UKIP
North West,West Lancashire,55.31,41.20287,23,25,98,Lab
North West,Wyre,63.77,44.72554,26,23,99,UKIP
North West,Bolton,58.29,38.4274,26,22,92,Lab
North West,Bury,54.12,39.21553,23,26,95,Lab
North West,Manchester,39.64,33.21533,23,29,83,Lab
North West,Oldham,60.86,37.4315,30,19,89,Lab
North West,Rochdale,60.07,37.91879,29,19,92,Lab
North West,Salford,56.81,37.35378,27,22,93,Lab
North West,Stockport,47.67,40.76601,21,30,97,UKIP
North West,Tameside,61.14,39.10278,28,18,95,Lab
North West,Trafford,42.31,39.28137,19,34,94,Lab
North West,Wigan,63.9,39.63527,27,20,98,Lab
North West,Knowsley,51.56,39.10665,35,15,99,Lab
North West,Liverpool,41.81,37.67293,29,22,94,Lab
North West,St. Helens,58.02,40.7216,28,21,99,Lab
North West,Sefton,48.13,42.53627,25,24,98,Lab
North West,Wirral,48.3,41.35912,23,25,98,Lab
Northern Ireland,Northern Ireland,44.22,NA,NA,NA,NA,NA
Scotland,Clackmannanshire,42.22,40.3,29,22,89,SNP
Scotland,Dumfries & Galloway,46.94,43.6,33,22,88,Con
Scotland,East Ayrshire,41.4,40.9,34,18,88,SNP
Scotland,East Lothian,35.4,41,25,27,91,Lab
Scotland,East Renfrewshire,25.68,41,19,35,93,Con
Scotland,Eilean Siar,44.76,43.7,30,26,90,SNP
Scotland,Falkirk,43.24,40.1,27,20,89,SNP
Scotland,Fife,41.41,40.8,26,24,89,Lab
Scotland,Highland,44.05,41.9,25,26,90,SNP
Scotland,Inverclyde,36.2,41.5,33,20,91,Lab
Scotland,Midlothian,37.94,40.4,29,21,90,Lab
Scotland,Moray,49.87,41.2,27,23,87,SNP
Scotland,North Ayrshire,43.12,41.6,31,20,90,SNP
Scotland,Orkney Islands,36.84,42.6,28,27,87,LD
Scotland,Perth & Kinross,38.91,42.6,23,30,90,SNP
Scotland,Scottish Borders,41.53,43.5,28,27,89,Con
Scotland,Shetland Islands,43.49,40.1,24,27,85,LD
Scotland,South Ayrshire,41.04,43.5,29,25,91,Con
Scotland,South Lanarkshire,36.92,40.7,29,22,90,Lab
Scotland,Stirling,32.28,40.2,21,33,90,SNP
Scotland,Aberdeen City,38.9,38.7,20,33,87,SNP
Scotland,Aberdeenshire,44.99,40.4,24,27,86,SNP
Scotland,Argyll & Bute,39.43,43.9,25,29,91,SNP
Scotland,"Edinburgh, City of",25.56,38.5,17,41,89,Lab
Scotland,Renfrewshire,35.19,40.6,28,23,90,Lab
Scotland,West Dunbartonshire,38.01,40.3,33,17,90,Lab
Scotland,West Lothian,41.75,38.2,26,21,89,SNP
Scotland,Angus,44.74,42.4,27,24,89,SNP
Scotland,Dundee City,40.22,39.3,27,25,88,SNP
Scotland,North Lanarkshire,38.34,39,33,17,90,Lab
Scotland,East Dunbartonshire,28.6,42.2,20,35,93,SNP
Scotland,Glasgow City,33.41,38,32,26,86,Lab
South East,Medway,64.08,37.74181,23,19,95,UKIP
